"Well","SampleID","SampleType","Replicate","DilutionFactor","response_value","concentration_diluted","concentration","ci_lower_individual","ci_upper_individual","quantification_status","is_outlier"
"B6","B6","Sample","BE",1,0.376,509.707075893229,509.707075893229,464.203157571019,555.210994215439,"Interpolated",FALSE
"C6","C6","Sample","BB",1,0.3995,468.084077821505,468.084077821505,428.427866560037,507.740289082972,"Interpolated",FALSE
"D6","D6","Sample","BF",1,0.3739,513.710541195923,513.710541195923,467.629697700605,559.791384691242,"Interpolated",FALSE
"E6","E6","Sample","BC",1,0.3856,492.024398472273,492.024398472273,449.038913227303,535.009883717244,"Interpolated",FALSE
"F6","F6","Sample","BG",1,0.3728,515.82779329588,515.82779329588,469.440854144778,562.214732446982,"Interpolated",FALSE
"G6","G6","Sample","BD",1,0.3931,478.875287567936,478.875287567936,437.730149218272,520.0204259176,"Interpolated",FALSE
"H6","H6","Sample","BH",1,0.3919,480.941814538268,480.941814538268,439.509321647829,522.374307428706,"Interpolated",FALSE
"A7","A7","Sample","BA",1,0.7845,146.233246812931,146.233246812931,137.284816400956,155.181677224905,"Interpolated",FALSE
"B7","B7","Sample","BE",1,0.7999,139.410626660113,139.410626660113,130.706710277428,148.114543042798,"Interpolated",FALSE
"C7","C7","Sample","BB",1,0.7944,141.822890908825,141.822890908825,133.034204609872,150.611577207778,"Interpolated",FALSE
"D7","D7","Sample","BF",1,0.7991,139.759853639643,139.759853639643,131.043774408599,148.475932870687,"Interpolated",FALSE
"E7","E7","Sample","BC",1,0.7624,156.413540477674,156.413540477674,147.070672420347,165.756408535001,"Interpolated",FALSE
"F7","F7","Sample","BG",1,0.761,157.074820184515,157.074820184515,147.705004954021,166.444635415008,"Interpolated",FALSE
"G7","G7","Sample","BD",1,0.7435,165.515840715285,165.515840715285,155.786882674047,175.244798756523,"Interpolated",FALSE
"H7","H7","Sample","BH",1,0.7927,142.573915094483,142.573915094483,133.758469465856,151.389360723109,"Interpolated",FALSE
"A8","A8","Sample","CA",1,0.7977,140.372344077657,140.372344077657,131.634844482918,149.109843672396,"Interpolated",FALSE
"B8","B8","Sample","CE",1,0.7723,151.794035659272,151.794035659272,142.634803456843,160.953267861702,"Interpolated",FALSE
"C8","C8","Sample","CB",1,0.7622,156.507885548751,156.507885548751,147.161183200493,165.85458789701,"Interpolated",FALSE
"D8","D8","Sample","CF",1,0.7799,148.313272849502,148.313272849502,139.287257514173,157.339288184831,"Interpolated",FALSE
"E8","E8","Sample","CC",1,0.8092,135.39113863711,135.39113863711,126.824662591467,143.957614682752,"Interpolated",FALSE
"F8","F8","Sample","CG",1,0.7771,149.589181922361,149.589181922361,140.514834126988,158.663529717735,"Interpolated",FALSE
"G8","G8","Sample","CD",1,0.8001,139.323406828531,139.323406828531,130.62252244602,148.024291211041,"Interpolated",FALSE
"H8","H8","Sample","CH",1,0.7839,146.503430119538,146.503430119538,137.545005243318,155.461854995758,"Interpolated",FALSE
"A9","A9","Sample","CA",1,0.789,144.217480325913,144.217480325913,135.342846766615,153.09211388521,"Interpolated",FALSE
"B9","B9","Sample","CE",1,0.7661,154.675523171648,154.675523171648,145.402683358826,163.948362984471,"Interpolated",FALSE
"C9","C9","Sample","CB",1,0.7686,153.509024557593,153.509024557593,144.282546647093,162.735502468092,"Interpolated",FALSE
"D9","D9","Sample","CF",1,0.8196,130.981464206953,130.981464206953,122.560730254302,139.402198159604,"Interpolated",FALSE
"E9","E9","Sample","CC",1,0.775,150.551052900353,150.551052900353,141.439888546706,159.662217254,"Interpolated",FALSE
"F9","F9","Sample","CG",1,0.7835,146.683738729916,146.683738729916,137.718630246857,155.648847212974,"Interpolated",FALSE
"G9","G9","Sample","CD",1,0.7937,142.131823620684,142.131823620684,133.332151396388,150.93149584498,"Interpolated",FALSE
"H9","H9","Sample","CH",1,0.7808,147.904743883127,147.904743883127,138.894083898502,156.915403867752,"Interpolated",FALSE
"A10","A10","Sample","DA",1,0.2099,1163.77605903334,1163.77605903334,1001.36933060071,1326.18278746598,"Interpolated",FALSE
"B10","B10","Sample","DE",1,0.1808,1476.15255453309,1476.15255453309,1247.11535471276,1705.18975435343,"Interpolated",FALSE
"C10","C10","Sample","DB",1,0.2126,1141.37094050097,1141.37094050097,983.531196763818,1299.21068423811,"Interpolated",FALSE
"D10","D10","Sample","DF",1,0.2057,1200.41477015193,1200.41477015193,1030.4738483232,1370.35569198067,"Interpolated",FALSE
"E10","E10","Sample","DC",1,0.1899,1361.67852977236,1361.67852977236,1157.66241553654,1565.69464400818,"Interpolated",FALSE
"F10","F10","Sample","DG",1,0.1998,1255.94207443812,1255.94207443812,1074.4320215517,1437.45212732454,"Interpolated",FALSE
"G10","G10","Sample","DD",1,0.1901,1359.36479526479,1359.36479526479,1155.8475624265,1562.88202810308,"Interpolated",FALSE
"H10","H10","Sample","DH",1,0.1677,1680.62080935671,1680.62080935671,1405.35801419115,1955.88360452227,"Interpolated",FALSE
"A11","A11","Sample","DA",1,0.1741,1573.89352883085,1573.89352883085,1322.99324923699,1824.79380842472,"Interpolated",FALSE
"B11","B11","Sample","DE",1,0.1875,1390.0795585922,1390.0795585922,1179.91713790944,1600.24197927497,"Interpolated",FALSE
"C11","C11","Sample","DB",1,0.1866,1401.04263841744,1401.04263841744,1188.49664044856,1613.58863638632,"Interpolated",FALSE
"D11","D11","Sample","DF",1,0.1801,1485.77811721826,1485.77811721826,1254.60767331788,1716.94856111863,"Interpolated",FALSE
"E11","E11","Sample","DC",1,0.1912,1346.78023643128,1346.78023643128,1145.97155389882,1547.58891896373,"Interpolated",FALSE
"F11","F11","Sample","DG",1,0.16,1830.87547993735,1830.87547993735,1520.50932033794,2141.24163953676,"Interpolated",FALSE
"G11","G11","Sample","DD",1,0.193,1326.68794163103,1326.68794163103,1130.18637526525,1523.18950799681,"Interpolated",FALSE
"H11","H11","Sample","DH",1,0.1805,1480.26211529144,1480.26211529144,1250.3146846212,1710.20954596168,"Interpolated",FALSE
"A12","A12","Sample","EA",1,0.182,1459.94513862486,1459.94513862486,1234.48982349814,1685.40045375158,"Interpolated",FALSE
"B12","B12","Sample","EA",1,0.1986,1267.87049075936,1267.87049075936,1083.8521261816,1451.88885533713,"Interpolated",FALSE
"C12","C12","Sample","EB",1,0.1893,1368.6678722324,1368.6678722324,1163.14304435713,1574.19270010768,"Interpolated",FALSE
"D12","D12","Sample","EB",1,0.1916,1342.26229175726,1342.26229175726,1142.42396866053,1542.10061485398,"Interpolated",FALSE
"E12","E12","Sample","EC",1,0.2073,1186.1902605979,1186.1902605979,1019.1839749718,1353.19654622399,"Interpolated",FALSE
"F12","F12","Sample","EC",1,0.198,1273.92033615774,1273.92033615774,1088.62675824563,1459.21391406984,"Interpolated",FALSE
"G12","G12","Sample","ED",1,0.1986,1267.87049075936,1267.87049075936,1083.8521261816,1451.88885533713,"Interpolated",FALSE
"H12","H12","Sample","ED",1,0.2042,1214.06205247718,1214.06205247718,1041.29431439219,1386.82979056217,"Interpolated",FALSE
