"replicate_group","sample_ids","sample_type","n_replicates","mean_concentration","std_dev","std_error","ci_lower_95","ci_upper_95","ci_lower_model","ci_upper_model","ci_lower_replicate","ci_upper_replicate","ci_lower_raw","ci_upper_raw","ci_truncated","cv_percent","mean_response","within_range","range_flag","quant_status"
"BC","E6,E7","Sample",2,324.218969474974,237.312713527817,167.8054289973,0,2456.38910615629,147.070672420347,535.009883717244,-1807.95116720634,2456.38910615629,-1807.95116720634,2456.38910615629,TRUE,73.1951970336932,0.574,"Out of Range",">ULOQ","Interpolated"
"BD","G6,G7","Sample",2,322.19556414161,221.578589818375,156.679723426326,0,2313.00020800373,155.786882674047,520.0204259176,-1668.60907972051,2313.00020800373,-1668.60907972051,2313.00020800373,TRUE,68.7714588525457,0.5683,"Out of Range",">ULOQ","Interpolated"
"BE","B6,B7","Sample",2,324.558851276671,261.839130302037,185.148224616558,0,2677.09009979392,130.706710277428,555.210994215439,-2027.97239724058,2677.09009979392,-2027.97239724058,2677.09009979392,TRUE,80.6753934678032,0.58795,"Out of Range",">ULOQ","Interpolated"
"BF","D6,D7","Sample",2,326.735197417783,264.423067000418,186.97534377814,0,2702.48219607948,131.043774408599,559.791384691242,-2049.01180124392,2702.48219607948,-2049.01180124392,2702.48219607948,TRUE,80.9288589323025,0.5865,"Out of Range",">ULOQ","Interpolated"
"BG","F6,F7","Sample",2,336.451306740197,253.676660057882,179.376486555683,0,2615.64566977239,147.705004954021,562.214732446982,-1942.74305629199,2615.64566977239,-1942.74305629199,2615.64566977239,TRUE,75.3977336321558,0.5669,"Out of Range",">ULOQ","Interpolated"
"BH","H6,H7","Sample",2,311.757864816375,239.262236232548,169.183949721893,0,2461.44376805743,133.758469465856,522.374307428706,-1837.92803842468,2461.44376805743,-1837.92803842468,2461.44376805743,TRUE,76.746174911569,0.5923,"Out of Range",">ULOQ","Interpolated"
"CA","A8,A9","Sample",2,142.294912201785,2.71892191572795,1.92256812412795,117.866367997372,166.723456406198,131.634844482918,153.09211388521,117.866367997372,166.723456406198,117.866367997372,166.723456406198,FALSE,1.91076537710098,0.79335,"Out of Range",">ULOQ","Interpolated"
"CB","C8,C9","Sample",2,155.008455053172,2.12051494268424,1.49943049557943,135.956384188676,174.060525917668,144.282546647093,165.85458789701,135.956384188676,174.060525917668,135.956384188676,174.060525917668,FALSE,1.36799953393307,0.7654,"Out of Range",">ULOQ","Interpolated"
"CC","E8,E9","Sample",2,142.971095768731,10.7196781777459,7.57995713162161,46.6586085629197,239.283582974543,126.824662591467,159.662217254,46.6586085629197,239.283582974543,46.6586085629197,239.283582974543,FALSE,7.49779395625952,0.7921,"Out of Range",">ULOQ","Interpolated"
"CD","G8,G9","Sample",2,140.727615224607,1.98585055812976,1.40420839607664,122.885455851802,158.569774597413,130.62252244602,150.93149584498,122.885455851802,158.569774597413,122.885455851802,158.569774597413,FALSE,1.41113068317136,0.7969,"Out of Range",">ULOQ","Interpolated"
"CE","B8,B9","Sample",2,153.23477941546,2.03751935990542,1.440743756188,134.92839427697,171.54116455395,142.634803456843,163.948362984471,134.92839427697,171.54116455395,134.92839427697,171.54116455395,FALSE,1.32967161089531,0.7692,"Out of Range",">ULOQ","Interpolated"
"CF","D8,D9","Sample",2,139.647368528227,12.255439421374,8.66590432127448,29.5366139980128,249.758123058442,122.560730254302,157.339288184831,29.5366139980128,249.758123058442,29.5366139980128,249.758123058442,FALSE,8.77599023206567,0.79975,"Out of Range",">ULOQ","Interpolated"
"CG","F8,F9","Sample",2,148.136460326139,2.0544585837308,1.45272159622296,129.677882299867,166.59503835241,137.718630246857,158.663529717735,129.677882299867,166.59503835241,129.677882299867,166.59503835241,FALSE,1.38686895799163,0.7803,"Out of Range",">ULOQ","Interpolated"
"CH","H8,H9","Sample",2,147.204087001332,0.990878464803424,0.700656881794217,137.545005243318,156.915403867752,137.545005243318,156.915403867752,138.301397211445,156.106776791219,137.545005243318,156.915403867752,FALSE,0.673132441488839,0.78235,"Out of Range",">ULOQ","Interpolated"
"DA","A10,A11","Sample",2,1368.8347939321,289.996843976886,205.058734898754,0,3974.35306249663,1001.36933060071,1824.79380842472,-1236.68347463244,3974.35306249663,-1236.68347463244,3974.35306249663,TRUE,21.1856715845047,0.192,"Out of Range",">ULOQ","Interpolated"
"DB","C10,C11","Sample",2,1271.2067894592,183.615618478963,129.835848958236,0,2920.92766841761,983.531196763818,1613.58863638632,-378.514089499205,2920.92766841761,-378.514089499205,2920.92766841761,TRUE,14.4441974351849,0.1996,"Out of Range",">ULOQ","Interpolated"
"DC","E10,E11","Sample",2,1354.22938310182,10.5346842495875,7.4491466705424,1145.97155389882,1565.69464400818,1145.97155389882,1565.69464400818,1259.57900039611,1448.87976580752,1145.97155389882,1565.69464400818,FALSE,0.777909885949904,0.19055,"Out of Range",">ULOQ","Interpolated"
"DD","G10,G11","Sample",2,1343.02636844791,23.1060247922702,16.3384268168787,1130.18637526525,1562.88202810308,1130.18637526525,1562.88202810308,1135.42697224564,1550.62576465018,1130.18637526525,1562.88202810308,FALSE,1.72044461189344,0.19155,"Out of Range",">ULOQ","Interpolated"
"DE","B10,B11","Sample",2,1433.11605656265,60.8627991068476,43.0364979704465,886.285502222189,1979.94661090311,1179.91713790944,1705.18975435343,886.285502222189,1979.94661090311,886.285502222189,1979.94661090311,FALSE,4.24688557693143,0.18415,"Out of Range",">ULOQ","Interpolated"
"DF","D10,D11","Sample",2,1343.09644368509,201.782357812685,142.68167353316,0,3156.03899969747,1030.4738483232,1716.94856111863,-469.846112327276,3156.03899969747,-469.846112327276,3156.03899969747,TRUE,15.0236685356004,0.1929,"Out of Range",">ULOQ","Interpolated"
"DG","F10,F11","Sample",2,1543.40877718774,406.53930975918,287.466702749614,0,5196.01955715741,1074.4320215517,2141.24163953676,-2109.20200278194,5196.01955715741,-2109.20200278194,5196.01955715741,TRUE,26.3403523271353,0.1799,"Out of Range",">ULOQ","Interpolated"
"DH","H10,H11","Sample",2,1580.44146232407,141.674991243233,100.179347032635,307.542168591122,2853.34075605702,1250.3146846212,1955.88360452227,307.542168591122,2853.34075605702,307.542168591122,2853.34075605702,FALSE,8.96426692292018,0.1741,"Out of Range",">ULOQ","Interpolated"
"EA","A12,B12","Sample",2,1363.90781469211,135.817285999712,96.0373239327491,143.637914488273,2584.17771489595,1083.8521261816,1685.40045375158,143.637914488273,2584.17771489595,143.637914488273,2584.17771489595,FALSE,9.95795203581052,0.1903,"Out of Range",">ULOQ","Interpolated"
"EB","C12,D12","Sample",2,1355.46508199483,18.6715650151434,13.2027902375734,1142.42396866053,1574.19270010768,1142.42396866053,1574.19270010768,1187.70772614745,1523.22243784221,1142.42396866053,1574.19270010768,FALSE,1.37750247226321,0.19045,"Out of Range",">ULOQ","Interpolated"
"EC","E12,F12","Sample",2,1230.05529837782,62.0345313423706,43.8650377799197,672.697147586121,1787.41344916952,1019.1839749718,1459.21391406984,672.697147586121,1787.41344916952,672.697147586121,1787.41344916952,FALSE,5.04323109897425,0.20265,"Out of Range",">ULOQ","Interpolated"
"ED","G12,H12","Sample",2,1240.96627161827,38.048311594389,26.9042191410912,899.115754944658,1582.81678829189,1041.29431439219,1451.88885533713,899.115754944658,1582.81678829189,899.115754944658,1582.81678829189,FALSE,3.066023022912,0.2014,"Out of Range",">ULOQ","Interpolated"
