"Well","Row","Column","SampleType","SampleID","StandardConc","DilutionFactor","Replicate","MeasurementValue","NormalizedValue","ResponseUnit"
"H8","H","8","Sample","H8",NA,1,"CH",0.7839,0.7839,"Raw Absorbance"
"A9","A","9","Sample","A9",NA,1,"CA",0.789,0.789,"Raw Absorbance"
"B9","B","9","Sample","B9",NA,1,"CE",0.7661,0.7661,"Raw Absorbance"
"C9","C","9","Sample","C9",NA,1,"CB",0.7686,0.7686,"Raw Absorbance"
"D9","D","9","Sample","D9",NA,1,"CF",0.8196,0.8196,"Raw Absorbance"
"E9","E","9","Sample","E9",NA,1,"CC",0.775,0.775,"Raw Absorbance"
"F9","F","9","Sample","F9",NA,1,"CG",0.7835,0.7835,"Raw Absorbance"
"G9","G","9","Sample","G9",NA,1,"CD",0.7937,0.7937,"Raw Absorbance"
"H9","H","9","Sample","H9",NA,1,"CH",0.7808,0.7808,"Raw Absorbance"
"A10","A","10","Sample","A10",NA,1,"DA",0.2099,0.2099,"Raw Absorbance"
"B10","B","10","Sample","B10",NA,1,"DE",0.1808,0.1808,"Raw Absorbance"
"C10","C","10","Sample","C10",NA,1,"DB",0.2126,0.2126,"Raw Absorbance"
"D10","D","10","Sample","D10",NA,1,"DF",0.2057,0.2057,"Raw Absorbance"
"E10","E","10","Sample","E10",NA,1,"DC",0.1899,0.1899,"Raw Absorbance"
"F10","F","10","Sample","F10",NA,1,"DG",0.1998,0.1998,"Raw Absorbance"
"G10","G","10","Sample","G10",NA,1,"DD",0.1901,0.1901,"Raw Absorbance"
"H10","H","10","Sample","H10",NA,1,"DH",0.1677,0.1677,"Raw Absorbance"
"A11","A","11","Sample","A11",NA,1,"DA",0.1741,0.1741,"Raw Absorbance"
"B11","B","11","Sample","B11",NA,1,"DE",0.1875,0.1875,"Raw Absorbance"
"C11","C","11","Sample","C11",NA,1,"DB",0.1866,0.1866,"Raw Absorbance"
"D11","D","11","Sample","D11",NA,1,"DF",0.1801,0.1801,"Raw Absorbance"
"E11","E","11","Sample","E11",NA,1,"DC",0.1912,0.1912,"Raw Absorbance"
"F11","F","11","Sample","F11",NA,1,"DG",0.16,0.16,"Raw Absorbance"
"G11","G","11","Sample","G11",NA,1,"DD",0.193,0.193,"Raw Absorbance"
"H11","H","11","Sample","H11",NA,1,"DH",0.1805,0.1805,"Raw Absorbance"
"A12","A","12","Sample","A12",NA,1,"EA",0.182,0.182,"Raw Absorbance"
"B12","B","12","Sample","B12",NA,1,"EA",0.1986,0.1986,"Raw Absorbance"
"C12","C","12","Sample","C12",NA,1,"EB",0.1893,0.1893,"Raw Absorbance"
"D12","D","12","Sample","D12",NA,1,"EB",0.1916,0.1916,"Raw Absorbance"
"E12","E","12","Sample","E12",NA,1,"EC",0.2073,0.2073,"Raw Absorbance"
"F12","F","12","Sample","F12",NA,1,"EC",0.198,0.198,"Raw Absorbance"
"G12","G","12","Sample","G12",NA,1,"ED",0.1986,0.1986,"Raw Absorbance"
"H12","H","12","Sample","H12",NA,1,"ED",0.2042,0.2042,"Raw Absorbance"
