"replicate_group","sample_ids","sample_type","n_replicates","mean_concentration","std_dev","std_error","ci_lower_95","ci_upper_95","ci_lower_model","ci_upper_model","ci_lower_replicate","ci_upper_replicate","ci_lower_raw","ci_upper_raw","ci_truncated","cv_percent","mean_response","within_range","range_flag","quant_status"
"FC","F4,F5,F6","Sample",3,1.6794545520284e-08,1.31660460710781e-08,7.60142024329996e-09,0,4.95008170800914e-08,4.85584992416003e-09,4.06008833100794e-08,-1.59117260395234e-08,4.95008170800914e-08,-1.59117260395234e-08,4.95008170800914e-08,TRUE,78.3947743937251,6170.33333333333,"Out of Range","<LLOQ","Interpolated"
"FD","H4,H5,H6","Sample",3,2.05885269982805e-10,7.77102848884501e-11,4.48660538991492e-11,1.28422207005449e-11,3.98928319265066e-10,8.99685458192385e-11,3.7433000216208e-10,1.28422207005449e-11,3.98928319265066e-10,1.28422207005449e-11,3.98928319265066e-10,FALSE,37.7444607353115,346.333333333333,"Out of Range","<LLOQ","Interpolated"
"GA","B7,B8,B9","Sample",3,3.56584171968705e-09,2.91361322531536e-09,1.68217537995028e-09,0,1.08036582101474e-08,8.68072483430122e-10,7.73507274871129e-09,-3.67197477077334e-09,1.08036582101474e-08,-3.67197477077334e-09,1.08036582101474e-08,TRUE,81.7089891912271,3340.33333333333,"Out of Range","<LLOQ","Interpolated"
"GB","D7,D8,D9","Sample",3,6.06418028479281e-07,9.00116585705133e-07,5.19682553058905e-07,0,2.86587248344454e-06,3.26356766233683e-08,2.86587248344454e-06,-1.62959552704279e-06,2.84243158400135e-06,-1.62959552704279e-06,2.86587248344454e-06,TRUE,148.431699493229,8057,"Out of Range","<LLOQ","Interpolated"
"GC","F7,F8,F9","Sample",3,1.2956231617647e-09,9.87917432294163e-10,5.70374395472159e-10,0,3.74974611142218e-09,3.65750390336669e-10,2.64984169402714e-09,-1.15849978789279e-09,3.74974611142218e-09,-1.15849978789279e-09,3.74974611142218e-09,TRUE,76.2503682744121,1753.66666666667,"Out of Range","<LLOQ","Interpolated"
"GD","H7,H8,H9","Sample",3,2.80210812739947e-09,3.03155772336274e-09,1.75027066764737e-09,0,1.03329149933528e-08,7.72747442777076e-11,6.93620509945398e-09,-4.72869873855389e-09,1.03329149933528e-08,-4.72869873855389e-09,1.03329149933528e-08,TRUE,108.188463311593,2631,"Out of Range","<LLOQ","Interpolated"
"HA","B10,B11,B12","Sample",3,3.57566519841329e-10,1.91868349352984e-10,1.10775243147915e-10,0,8.34193922160365e-10,1.36622586699259e-10,6.93183962849557e-10,-1.19060882477707e-10,8.34193922160365e-10,-1.19060882477707e-10,8.34193922160365e-10,TRUE,53.6594839578735,588.333333333333,"Out of Range","<LLOQ","Interpolated"
"HB","D10,D11,D12","Sample",3,1.1709110838247e-08,8.92181412565945e-09,5.15101178710929e-09,0,3.38721257650244e-08,3.66711973698654e-09,2.70948157799837e-08,-1.04539040885305e-08,3.38721257650244e-08,-1.04539040885305e-08,3.38721257650244e-08,TRUE,76.1954878462418,5627.33333333333,"Out of Range","<LLOQ","Interpolated"
"HC","F10,F11,F12","Sample",3,1.89863298789859e-10,5.70954252384897e-11,3.29640591309382e-11,4.8030399786505e-11,3.31696197793213e-10,9.04111310639335e-11,3.28075609155627e-10,4.8030399786505e-11,3.31696197793213e-10,4.8030399786505e-11,3.31696197793213e-10,FALSE,30.0718599131068,320,"Out of Range","<LLOQ","Interpolated"
"HD","H10,H11,H12","Sample",3,5.24223754527588e-10,3.58176789350493e-10,2.06793465748983e-10,0,1.4139842244268e-09,1.55683295808939e-10,1.07508956586531e-09,-3.65536715371625e-10,1.4139842244268e-09,-3.65536715371625e-10,1.4139842244268e-09,TRUE,68.3251734125,831.333333333333,"Out of Range","<LLOQ","Interpolated"
