"Well","SampleID","SampleType","Replicate","DilutionFactor","response_value","concentration_diluted","concentration","ci_lower_individual","ci_upper_individual","quantification_status","is_outlier"
"H8","H8","Sample","GD",1,4912,6.09326105873239e-09,6.09326105873239e-09,5.25031701801081e-09,6.93620509945398e-09,"Interpolated",FALSE
"A9","A9","Sample","CA",1,4043,4.05554682614233e-09,4.05554682614233e-09,3.59335111762977e-09,4.51774253465489e-09,"Interpolated",FALSE
"B9","B9","Sample","GA",1,1552,1.02993409115231e-09,1.02993409115231e-09,8.68072483430122e-10,1.19179569887449e-09,"Interpolated",FALSE
"C9","C9","Sample","CB",1,3424,3.03085608572511e-09,3.03085608572511e-09,2.70874933162817e-09,3.35296283982206e-09,"Interpolated",FALSE
"D9","D9","Sample","GB",1,7736,5.00885007822596e-08,5.00885007822596e-08,3.26356766233683e-08,6.75413249411509e-08,"Interpolated",FALSE
"E9","E9","Sample","CC",1,228,1.34981097377862e-10,1.34981097377862e-10,8.55602262494688e-11,1.84401968506255e-10,"Interpolated",FALSE
"F9","F9","Sample","GC",1,779,4.75581465526428e-10,4.75581465526428e-10,3.65750390336669e-10,5.85412540716187e-10,"Interpolated",FALSE
"G9","G9","Sample","CD",1,5137,6.7949188908493e-09,6.7949188908493e-09,5.79782720705237e-09,7.79201057464623e-09,"Interpolated",FALSE
"H9","H9","Sample","GD",1,2772,2.1892835762867e-09,2.1892835762867e-09,1.94875375349848e-09,2.42981339907492e-09,"Interpolated",FALSE
"A10","A10","Sample","DA",1,2577,1.97298980925732e-09,1.97298980925732e-09,1.74878766064161e-09,2.19719195787302e-09,"Interpolated",FALSE
"B10","B10","Sample","HA",1,924,5.71801637297793e-10,5.71801637297793e-10,4.50419311746029e-10,6.93183962849557e-10,"Interpolated",FALSE
"C10","C10","Sample","DB",1,1965,1.37576871445806e-09,1.37576871445806e-09,1.19087829778039e-09,1.56065913113573e-09,"Interpolated",FALSE
"D10","D10","Sample","HB",1,7017,2.15473366338539e-08,2.15473366338539e-08,1.59998574877242e-08,2.70948157799837e-08,"Interpolated",FALSE
"E10","E10","Sample","DC",1,8689,NA,NA,NA,NA,"Not estimable",FALSE
"F10","F10","Sample","HC",1,425,2.52837197191909e-10,2.52837197191909e-10,1.77598785228192e-10,3.28075609155627e-10,"Interpolated",FALSE
"G10","G10","Sample","DD",1,3177,2.68811559956204e-09,2.68811559956204e-09,2.40295728229831e-09,2.97327391682576e-09,"Interpolated",FALSE
"H10","H10","Sample","HD",1,1412,9.21341079770666e-10,9.21341079770666e-10,7.67592593676025e-10,1.07508956586531e-09,"Interpolated",FALSE
"A11","A11","Sample","DA",1,1280,8.22543225218395e-10,8.22543225218395e-10,6.76806752117565e-10,9.68279698319224e-10,"Interpolated",FALSE
"B11","B11","Sample","HA",1,501,2.99346295598224e-10,2.99346295598224e-10,2.15690241080389e-10,3.83002350116059e-10,"Interpolated",FALSE
"C11","C11","Sample","DB",1,1117,7.0502796143056e-10,7.0502796143056e-10,5.69856075284159e-10,8.4019984757696e-10,"Interpolated",FALSE
"D11","D11","Sample","HB",1,5776,9.43683608978449e-09,9.43683608978449e-09,7.78442000653419e-09,1.10892521730348e-08,"Interpolated",FALSE
"E11","E11","Sample","DC",1,8473,NA,NA,NA,NA,"Not estimable",FALSE
"F11","F11","Sample","HC",1,296,1.7527616240437e-10,1.7527616240437e-10,1.16137505954065e-10,2.34414818854675e-10,"Interpolated",FALSE
"G11","G11","Sample","DD",1,1698,1.14764204598238e-09,1.14764204598238e-09,9.77587876730241e-10,1.31769621523452e-09,"Interpolated",FALSE
"H11","H11","Sample","HD",1,702,4.25734992092194e-10,4.25734992092194e-10,3.22554197962522e-10,5.28915786221866e-10,"Interpolated",FALSE
"A12","A12","Sample","DA",1,612,3.68502663366961e-10,3.68502663366961e-10,2.73635776789304e-10,4.63369549944618e-10,"Interpolated",FALSE
"B12","B12","Sample","HA",1,340,2.01551626627971e-10,2.01551626627971e-10,1.36622586699259e-10,2.66480666556683e-10,"Interpolated",FALSE
"C12","C12","Sample","DB",1,543,3.25335595129184e-10,3.25335595129184e-10,2.37299531753188e-10,4.13371658505179e-10,"Interpolated",FALSE
"D12","D12","Sample","HB",1,4089,4.1431597911025e-09,4.1431597911025e-09,3.66711973698654e-09,4.61919984521847e-09,"Interpolated",FALSE
"E12","E12","Sample","DC",1,8124,1.37258249383998e-07,1.37258249383998e-07,7.40415900195861e-08,2.00474908748409e-07,"Interpolated",FALSE
"F12","F12","Sample","HC",1,239,1.41476536773298e-10,1.41476536773298e-10,9.04111310639335e-11,1.92541942482662e-10,"Interpolated",FALSE
"G12","G12","Sample","DD",1,885,5.45608652288764e-10,5.45608652288764e-10,4.27220299449311e-10,6.63997005128216e-10,"Interpolated",FALSE
"H12","H12","Sample","HD",1,380,2.25595191719904e-10,2.25595191719904e-10,1.55683295808939e-10,2.9550708763087e-10,"Interpolated",FALSE
