"Well","Row","Column","SampleType","SampleID","StandardConc","DilutionFactor","Replicate","MeasurementValue","NormalizedValue","ResponseUnit"
"H9","H","9","Sample","H9",NA,1,"GD",2772,2772,"CPM"
"A10","A","10","Sample","A10",NA,1,"DA",2577,2577,"CPM"
"B10","B","10","Sample","B10",NA,1,"HA",924,924,"CPM"
"C10","C","10","Sample","C10",NA,1,"DB",1965,1965,"CPM"
"D10","D","10","Sample","D10",NA,1,"HB",7017,7017,"CPM"
"E10","E","10","Sample","E10",NA,1,"DC",8689,8689,"CPM"
"F10","F","10","Sample","F10",NA,1,"HC",425,425,"CPM"
"G10","G","10","Sample","G10",NA,1,"DD",3177,3177,"CPM"
"H10","H","10","Sample","H10",NA,1,"HD",1412,1412,"CPM"
"A11","A","11","Sample","A11",NA,1,"DA",1280,1280,"CPM"
"B11","B","11","Sample","B11",NA,1,"HA",501,501,"CPM"
"C11","C","11","Sample","C11",NA,1,"DB",1117,1117,"CPM"
"D11","D","11","Sample","D11",NA,1,"HB",5776,5776,"CPM"
"E11","E","11","Sample","E11",NA,1,"DC",8473,8473,"CPM"
"F11","F","11","Sample","F11",NA,1,"HC",296,296,"CPM"
"G11","G","11","Sample","G11",NA,1,"DD",1698,1698,"CPM"
"H11","H","11","Sample","H11",NA,1,"HD",702,702,"CPM"
"A12","A","12","Sample","A12",NA,1,"DA",612,612,"CPM"
"B12","B","12","Sample","B12",NA,1,"HA",340,340,"CPM"
"C12","C","12","Sample","C12",NA,1,"DB",543,543,"CPM"
"D12","D","12","Sample","D12",NA,1,"HB",4089,4089,"CPM"
"E12","E","12","Sample","E12",NA,1,"DC",8124,8124,"CPM"
"F12","F","12","Sample","F12",NA,1,"HC",239,239,"CPM"
"G12","G","12","Sample","G12",NA,1,"DD",885,885,"CPM"
"H12","H","12","Sample","H12",NA,1,"HD",380,380,"CPM"
