"Well","Row","Column","SampleType","SampleID","StandardConc","DilutionFactor","Replicate","MeasurementValue","NormalizedValue","ResponseUnit"
"H3","H","3","Standard","S8",6.6,1,"S8",1.3239,1.3239,"Raw Absorbance"
"A4","A","4","Sample","A4",NA,1,"AA",0.1273,0.1273,"Raw Absorbance"
"B4","B","4","Sample","B4",NA,1,"AE",0.2057,0.2057,"Raw Absorbance"
"C4","C","4","Sample","C4",NA,1,"AB",0.3747,0.3747,"Raw Absorbance"
"D4","D","4","Sample","D4",NA,1,"AF",0.6406,0.6406,"Raw Absorbance"
"E4","E","4","Sample","E4",NA,1,"AC",0.9136,0.9136,"Raw Absorbance"
"F4","F","4","Sample","F4",NA,1,"AG",1.1181,1.1181,"Raw Absorbance"
"G4","G","4","Sample","G4",NA,1,"AD",1.27,1.27,"Raw Absorbance"
"H4","H","4","Sample","H4",NA,1,"AH",1.3669,1.3669,"Raw Absorbance"
"A5","A","5","Sample","A5",NA,1,"AA",0.1434,0.1434,"Raw Absorbance"
"B5","B","5","Sample","B5",NA,1,"AE",0.2301,0.2301,"Raw Absorbance"
"C5","C","5","Sample","C5",NA,1,"AB",0.4172,0.4172,"Raw Absorbance"
"D5","D","5","Sample","D5",NA,1,"AF",0.7375,0.7375,"Raw Absorbance"
"E5","E","5","Sample","E5",NA,1,"AC",1.05,1.05,"Raw Absorbance"
"F5","F","5","Sample","F5",NA,1,"AG",1.2063,1.2063,"Raw Absorbance"
"G5","G","5","Sample","G5",NA,1,"AD",1.2462,1.2462,"Raw Absorbance"
"H5","H","5","Sample","H5",NA,1,"AH",1.2844,1.2844,"Raw Absorbance"
"A6","A","6","Sample","A6",NA,1,"BA",0.1521,0.1521,"Raw Absorbance"
"B6","B","6","Sample","B6",NA,1,"BE",0.2433,0.2433,"Raw Absorbance"
"C6","C","6","Sample","C6",NA,1,"BB",0.4118,0.4118,"Raw Absorbance"
"D6","D","6","Sample","D6",NA,1,"BF",0.6902,0.6902,"Raw Absorbance"
"E6","E","6","Sample","E6",NA,1,"BC",1.0065,1.0065,"Raw Absorbance"
"F6","F","6","Sample","F6",NA,1,"BG",1.2418,1.2418,"Raw Absorbance"
"G6","G","6","Sample","G6",NA,1,"BD",1.3339,1.3339,"Raw Absorbance"
"H6","H","6","Sample","H6",NA,1,"BH",1.3216,1.3216,"Raw Absorbance"
"A7","A","7","Sample","A7",NA,1,"BA",0.1565,0.1565,"Raw Absorbance"
"B7","B","7","Sample","B7",NA,1,"BE",0.2956,0.2956,"Raw Absorbance"
"C7","C","7","Sample","C7",NA,1,"BB",0.5491,0.5491,"Raw Absorbance"
"D7","D","7","Sample","D7",NA,1,"BF",0.8452,0.8452,"Raw Absorbance"
"E7","E","7","Sample","E7",NA,1,"BC",1.0633,1.0633,"Raw Absorbance"
"F7","F","7","Sample","F7",NA,1,"BG",1.2047,1.2047,"Raw Absorbance"
"G7","G","7","Sample","G7",NA,1,"BD",1.3151,1.3151,"Raw Absorbance"
"H7","H","7","Sample","H7",NA,1,"BH",1.3859,1.3859,"Raw Absorbance"
"A8","A","8","Sample","A8",NA,1,"CA",0.1549,0.1549,"Raw Absorbance"
"B8","B","8","Sample","B8",NA,1,"CE",0.2769,0.2769,"Raw Absorbance"
"C8","C","8","Sample","C8",NA,1,"CB",0.525,0.525,"Raw Absorbance"
"D8","D","8","Sample","D8",NA,1,"CF",0.8674,0.8674,"Raw Absorbance"
"E8","E","8","Sample","E8",NA,1,"CC",1.138,1.138,"Raw Absorbance"
"F8","F","8","Sample","F8",NA,1,"CG",1.2434,1.2434,"Raw Absorbance"
"G8","G","8","Sample","G8",NA,1,"CD",1.2605,1.2605,"Raw Absorbance"
"H8","H","8","Sample","H8",NA,1,"CH",1.2973,1.2973,"Raw Absorbance"
"A9","A","9","Sample","A9",NA,1,"CA",0.1424,0.1424,"Raw Absorbance"
"B9","B","9","Sample","B9",NA,1,"CE",0.2199,0.2199,"Raw Absorbance"
"C9","C","9","Sample","C9",NA,1,"CB",0.3807,0.3807,"Raw Absorbance"
"D9","D","9","Sample","D9",NA,1,"CF",0.6542,0.6542,"Raw Absorbance"
"E9","E","9","Sample","E9",NA,1,"CC",0.9809,0.9809,"Raw Absorbance"
"F9","F","9","Sample","F9",NA,1,"CG",1.2274,1.2274,"Raw Absorbance"
"G9","G","9","Sample","G9",NA,1,"CD",1.3207,1.3207,"Raw Absorbance"
"H9","H","9","Sample","H9",NA,1,"CH",1.3083,1.3083,"Raw Absorbance"
"A10","A","10","Sample","A10",NA,1,"DA",0.1358,0.1358,"Raw Absorbance"
"B10","B","10","Sample","B10",NA,1,"DE",0.225,0.225,"Raw Absorbance"
"C10","C","10","Sample","C10",NA,1,"DB",0.4073,0.4073,"Raw Absorbance"
"D10","D","10","Sample","D10",NA,1,"DF",0.6773,0.6773,"Raw Absorbance"
"E10","E","10","Sample","E10",NA,1,"DC",0.9427,0.9427,"Raw Absorbance"
"F10","F","10","Sample","F10",NA,1,"DG",1.1481,1.1481,"Raw Absorbance"
"G10","G","10","Sample","G10",NA,1,"DD",1.2979,1.2979,"Raw Absorbance"
"H10","H","10","Sample","H10",NA,1,"DH",1.3772,1.3772,"Raw Absorbance"
"A11","A","11","Sample","A11",NA,1,"DA",0.1828,0.1828,"Raw Absorbance"
"B11","B","11","Sample","B11",NA,1,"DE",0.3214,0.3214,"Raw Absorbance"
"C11","C","11","Sample","C11",NA,1,"DB",0.5902,0.5902,"Raw Absorbance"
"D11","D","11","Sample","D11",NA,1,"DF",0.9371,0.9371,"Raw Absorbance"
"E11","E","11","Sample","E11",NA,1,"DC",1.1752,1.1752,"Raw Absorbance"
"F11","F","11","Sample","F11",NA,1,"DG",1.2508,1.2508,"Raw Absorbance"
"G11","G","11","Sample","G11",NA,1,"DD",1.2653,1.2653,"Raw Absorbance"
"H11","H","11","Sample","H11",NA,1,"DH",1.3071,1.3071,"Raw Absorbance"
"A12","A","12","Sample","A12",NA,1,"EA",0.1955,0.1955,"Raw Absorbance"
"B12","B","12","Sample","B12",NA,1,"EA",0.3337,0.3337,"Raw Absorbance"
"C12","C","12","Sample","C12",NA,1,"EB",0.5688,0.5688,"Raw Absorbance"
"D12","D","12","Sample","D12",NA,1,"EB",0.8761,0.8761,"Raw Absorbance"
"E12","E","12","Sample","E12",NA,1,"EC",1.1513,1.1513,"Raw Absorbance"
"F12","F","12","Sample","F12",NA,1,"EC",1.3136,1.3136,"Raw Absorbance"
"G12","G","12","Sample","G12",NA,1,"ED",1.3484,1.3484,"Raw Absorbance"
"H12","H","12","Sample","H12",NA,1,"ED",1.312,1.312,"Raw Absorbance"
