"Well","SampleID","SampleType","Replicate","DilutionFactor","response_value","concentration_diluted","concentration","ci_lower_individual","ci_upper_individual","quantification_status","is_outlier"
"D7","D7","Sample","BF",1,61.6117533849261,144.202187212743,144.202187212743,127.05961296739,161.344761458096,"Interpolated",FALSE
"E7","E7","Sample","BC",1,79.347546182725,71.4625274371996,71.4625274371996,59.0898363998411,83.835218474558,"Interpolated",FALSE
"F7","F7","Sample","BG",1,90.8461298673136,33.4332250155843,33.4332250155843,24.659752421876,42.2066976092927,"Interpolated",FALSE
"G7","G7","Sample","BD",1,99.8238076521692,1.32430664887719,1.32430664887719,0.400776831257893,2.24783646649648,"Extrapolated (below)",FALSE
"H7","H7","Sample","BH",1,105.581231448979,NA,NA,NA,NA,"Not estimable",FALSE
"A8","A8","Sample","CA",1,5.47687136603283,2779.04529400985,2779.04529400985,1669.28290398887,3888.80768403084,"Interpolated",FALSE
"B8","B8","Sample","CE",1,15.3978558746595,886.052594863966,886.052594863966,664.233246820414,1107.87194290752,"Interpolated",FALSE
"C8","C8","Sample","CB",1,35.5732350270387,344.151963157677,344.151963157677,293.949619505106,394.354306810247,"Interpolated",FALSE
"D8","D8","Sample","CF",1,63.4170472873155,135.507793942622,135.507793942622,119.046891122264,151.968696762981,"Interpolated",FALSE
"E8","E8","Sample","CC",1,85.42211620563,50.9588233330112,50.9588233330112,40.2095459016146,61.7081007644077,"Interpolated",FALSE
"F8","F8","Sample","CG",1,93.9931962647222,23.2354031232295,23.2354031232295,16.0550703380198,30.4157359084393,"Interpolated",FALSE
"G8","G8","Sample","CD",1,95.383760486833,18.6086806138578,18.6086806138578,12.3174724943163,24.8998887333992,"Interpolated",FALSE
"H8","H8","Sample","CH",1,98.3763197484515,7.88362736940103,7.88362736940103,4.31246708082088,11.4547876579812,"Interpolated",FALSE
"A9","A9","Sample","CA",1,4.46037705162436,3649.91685255025,3649.91685255025,2058.50899021707,5241.32471488342,"Interpolated",FALSE
"B9","B9","Sample","CE",1,10.7626418009569,1292.13191977943,1292.13191977943,906.736063147398,1677.52777641147,"Interpolated",FALSE
"C9","C9","Sample","CB",1,23.8388246615074,553.384258934239,553.384258934239,445.950334043824,660.818183824654,"Interpolated",FALSE
"D9","D9","Sample","CF",1,46.0797202607647,240.455710958018,240.455710958018,211.259657164124,269.651764751912,"Interpolated",FALSE
"E9","E9","Sample","CC",1,72.6468156621444,96.1158510612962,96.1158510612962,82.2097192400111,110.021982882581,"Interpolated",FALSE
"F9","F9","Sample","CG",1,92.6920835422794,27.4802003196334,27.4802003196334,19.583709853143,35.3766907861237,"Interpolated",FALSE
"G9","G9","Sample","CD",1,100.279197105024,NA,NA,NA,NA,"Not estimable",FALSE
"H9","H9","Sample","CH",1,99.270834745131,4.13163419218182,4.13163419218182,1.89665061070016,6.36661777366348,"Extrapolated (below)",FALSE
"A10","A10","Sample","DA",1,3.92366805361669,4412.14389238776,4412.14389238776,2375.18038972993,6449.10739504559,"Extrapolated (above)",FALSE
"B10","B10","Sample","DE",1,11.1773714812355,1241.36289801544,1241.36289801544,877.528256138635,1605.19753989225,"Interpolated",FALSE
"C10","C10","Sample","DB",1,26.0019245625686,501.766373829319,501.766373829319,409.813098987463,593.719648671176,"Interpolated",FALSE
"D10","D10","Sample","DF",1,47.9582017537915,226.114494234568,226.114494234568,199.23863380107,252.990354668066,"Interpolated",FALSE
"E10","E10","Sample","DC",1,69.5404090373121,108.548058594067,108.548058594067,93.8973394196944,123.19877776844,"Interpolated",FALSE
"F10","F10","Sample","DG",1,86.2434436116721,48.2764109986419,48.2764109986419,37.7844065401698,58.7684154571141,"Interpolated",FALSE
"G10","G10","Sample","DD",1,98.4251114755432,7.69092019112544,7.69092019112544,4.18127819908027,11.2005621831706,"Interpolated",FALSE
"H10","H10","Sample","DH",1,104.87375140615,NA,NA,NA,NA,"Not estimable",FALSE
"A11","A11","Sample","DA",1,7.74568667579253,1846.76151561185,1846.76151561185,1209.74085364146,2483.78217758225,"Interpolated",FALSE
"B11","B11","Sample","DE",1,19.0165756339536,708.229199825295,708.229199825295,550.337248221235,866.121151429354,"Interpolated",FALSE
"C11","C11","Sample","DB",1,40.8752693709933,285.999032669506,285.999032669506,248.407918864674,323.590146474337,"Interpolated",FALSE
"D11","D11","Sample","DF",1,69.0850195844571,110.434350377261,110.434350377261,95.6678752335025,125.20082552102,"Interpolated",FALSE
"E11","E11","Sample","DC",1,88.4472032853096,41.1435812723147,41.1435812723147,31.4075860259191,50.8795765187103,"Interpolated",FALSE
"F11","F11","Sample","DG",1,94.594960898852,21.2478486078996,21.2478486078996,14.4340841799919,28.0616130358074,"Interpolated",FALSE
"G11","G11","Sample","DD",1,95.7740943035659,17.2845552388428,17.2845552388428,11.2727316947177,23.296378782968,"Interpolated",FALSE
"H11","H11","Sample","DH",1,99.1732512909478,4.5708011837572,4.5708011837572,2.16136068753226,6.98024167998214,"Extrapolated (below)",FALSE
"A12","A12","Sample","EA",1,8.77844489923153,1608.45046960914,1608.45046960914,1082.8625791058,2134.03836011248,"Interpolated",FALSE
"B12","B12","Sample","EA",1,20.0168060393316,670.226849192933,670.226849192933,525.219402894558,815.234295491308,"Interpolated",FALSE
"C12","C12","Sample","EB",1,39.135031104726,303.551193454773,303.551193454773,262.355828354136,344.746558555411,"Interpolated",FALSE
"D12","D12","Sample","EB",1,64.1245273301438,132.201620638953,132.201620638953,115.98532339005,148.417917887857,"Interpolated",FALSE
"E12","E12","Sample","EC",1,86.5036661561606,47.4296847113622,47.4296847113622,37.021733363863,57.8376360588615,"Interpolated",FALSE
"F12","F12","Sample","EC",1,99.7018283344402,2.01707683250029,2.01707683250029,0.72743706558361,3.30671659941696,"Extrapolated (below)",FALSE
"G12","G12","Sample","ED",1,102.531748505753,NA,NA,NA,NA,"Not estimable",FALSE
"H12","H12","Sample","ED",1,99.5717170621959,2.69565181708186,2.69565181708186,1.07966076343813,4.31164287072559,"Extrapolated (below)",FALSE
