"Well","Row","Column","SampleType","SampleID","StandardConc","DilutionFactor","Replicate","MeasurementValue","NormalizedValue","ResponseUnit"
"D9","D","9","Sample","D9",NA,1,"CF",0.8886,0.8886,"Raw Absorbance"
"E9","E","9","Sample","E9",NA,1,"CC",0.8437,0.8437,"Raw Absorbance"
"F9","F","9","Sample","F9",NA,1,"CG",0.8593,0.8593,"Raw Absorbance"
"G9","G","9","Sample","G9",NA,1,"CD",0.8632,0.8632,"Raw Absorbance"
"H9","H","9","Sample","H9",NA,1,"CH",0.8553,0.8553,"Raw Absorbance"
"A10","A","10","Sample","A10",NA,1,"DA",0.2152,0.2152,"Raw Absorbance"
"B10","B","10","Sample","B10",NA,1,"DE",0.2027,0.2027,"Raw Absorbance"
"C10","C","10","Sample","C10",NA,1,"DB",0.2242,0.2242,"Raw Absorbance"
"D10","D","10","Sample","D10",NA,1,"DF",0.2218,0.2218,"Raw Absorbance"
"E10","E","10","Sample","E10",NA,1,"DC",0.2028,0.2028,"Raw Absorbance"
"F10","F","10","Sample","F10",NA,1,"DG",0.2204,0.2204,"Raw Absorbance"
"G10","G","10","Sample","G10",NA,1,"DD",0.2121,0.2121,"Raw Absorbance"
"H10","H","10","Sample","H10",NA,1,"DH",0.185,0.185,"Raw Absorbance"
"A11","A","11","Sample","A11",NA,1,"DA",0.1805,0.1805,"Raw Absorbance"
"B11","B","11","Sample","B11",NA,1,"DE",0.2115,0.2115,"Raw Absorbance"
"C11","C","11","Sample","C11",NA,1,"DB",0.2034,0.2034,"Raw Absorbance"
"D11","D","11","Sample","D11",NA,1,"DF",0.2025,0.2025,"Raw Absorbance"
"E11","E","11","Sample","E11",NA,1,"DC",0.203,0.203,"Raw Absorbance"
"F11","F","11","Sample","F11",NA,1,"DG",0.186,0.186,"Raw Absorbance"
"G11","G","11","Sample","G11",NA,1,"DD",0.202,0.202,"Raw Absorbance"
"H11","H","11","Sample","H11",NA,1,"DH",0.1882,0.1882,"Raw Absorbance"
"A12","A","12","Sample","A12",NA,1,"EA",0.1978,0.1978,"Raw Absorbance"
"B12","B","12","Sample","B12",NA,1,"EA",0.2153,0.2153,"Raw Absorbance"
"C12","C","12","Sample","C12",NA,1,"EB",0.2097,0.2097,"Raw Absorbance"
"D12","D","12","Sample","D12",NA,1,"EB",0.2009,0.2009,"Raw Absorbance"
"E12","E","12","Sample","E12",NA,1,"EC",0.2191,0.2191,"Raw Absorbance"
"F12","F","12","Sample","F12",NA,1,"EC",0.2036,0.2036,"Raw Absorbance"
"G12","G","12","Sample","G12",NA,1,"ED",0.2261,0.2261,"Raw Absorbance"
"H12","H","12","Sample","H12",NA,1,"ED",0.2111,0.2111,"Raw Absorbance"
